Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand
ENSG00000120738,5,137801179,137805004,1
ENSG00000120915,8,27348296,27403081,1
ENSG00000121691,11,34460472,34493609,1
ENSG00000122574,7,29846102,29956682,1
ENSG00000122644,7,12726481,12730559,1
ENSG00000122779,7,138145079,138274738,1
ENSG00000123066,12,116395711,116715143,-1
ENSG00000123080,1,51426417,51440305,1
ENSG00000123159,19,14588572,14606944,-1
ENSG00000123989,2,220403669,220408509,-1
ENSG00000124171,20,49348081,49373332,1
ENSG00000124535,6,2765648,2787186,1
ENSG00000124575,6,26234440,26235216,-1
ENSG00000124635,6,27093676,27100541,-1
ENSG00000124657,6,27925019,27925960,1
ENSG00000124882,4,75230860,75254468,1
ENSG00000125462,1,156374042,156400493,-1
ENSG00000125826,20,388142,411610,1
ENSG00000125898,20,814358,838106,1
ENSG00000125968,20,30193086,30194318,1
ENSG00000126756,X,47511197,47518560,-1
ENSG00000126767,X,47494920,47510003,-1
ENSG00000128039,4,56212276,56239263,1
ENSG00000128268,22,39853349,39888199,1
ENSG00000128283,22,37956454,37965412,1
ENSG00000128294,22,26921458,26992681,-1
ENSG00000128309,22,37415676,37425863,1
ENSG00000128311,22,37406900,37415681,-1
ENSG00000128564,7,100805790,100808874,-1
ENSG00000128872,15,52043758,52108565,1
ENSG00000129128,4,177241115,177253396,1
ENSG00000129538,14,21269387,21271437,-1
ENSG00000129691,8,37962760,38001594,1
ENSG00000129749,11,3686817,3692614,-1
ENSG00000130066,X,23801290,23804343,1
ENSG00000130303,19,17513748,17516457,-1
ENSG00000130511,19,18529674,18545372,1
ENSG00000130522,19,18390563,18392432,-1
ENSG00000130656,16,202686,204502,1
ENSG00000130775,1,28199055,28213196,1
ENSG00000130821,X,152953554,152962048,1
ENSG00000131389,3,14444076,14530857,1
ENSG00000131508,5,138906016,139008018,1
ENSG00000131914,1,26737269,26756213,1
ENSG00000131981,14,55590828,55612126,1
ENSG00000132002,19,14625582,14640582,-1
ENSG00000132356,5,40759481,40798476,-1
ENSG00000132589,17,27206353,27224697,-1
ENSG00000133639,12,92536286,92539673,-1
ENSG00000133742,8,86239837,86291243,-1
ENSG00000133863,8,30689060,30748122,-1
ENSG00000134107,3,5020801,5027008,1
ENSG00000134369,1,201592411,201796102,1
ENSG00000134698,1,36273773,36323491,1
ENSG00000135046,9,75766673,75785309,1
ENSG00000135047,9,90340434,90346308,1
ENSG00000135315,6,84833960,84937353,-1
ENSG00000135324,6,84743475,84800600,1
ENSG00000135363,11,33880122,33913836,-1
ENSG00000135372,11,34127149,34169217,1
ENSG00000135409,12,53817639,53825318,1
ENSG00000135638,2,73143389,73162020,1
ENSG00000135821,1,182350839,182361341,-1
ENSG00000135932,2,231577560,231685790,1
ENSG00000136048,12,102271129,102405908,1
ENSG00000136213,7,2443223,2474242,1
ENSG00000136244,7,22765503,22771621,1
ENSG00000136522,3,179306073,179322442,-1
ENSG00000136631,1,150039369,150117505,1
ENSG00000136643,1,213224589,213448116,1
ENSG00000136732,2,127413509,127454246,1
ENSG00000136929,9,100689073,100707138,-1
ENSG00000136938,9,100745643,100778225,1
ENSG00000137193,6,37137979,37143202,1
ENSG00000137198,6,16238811,16295780,1
ENSG00000137267,6,3153903,3157760,-1
ENSG00000137331,6,30710976,30712331,-1
ENSG00000137463,4,140187317,140201492,-1
ENSG00000138316,10,72432559,72522197,1
ENSG00000138468,3,101043049,101232085,-1
ENSG00000138623,15,74701630,74726808,-1
ENSG00000138678,4,84457067,84527028,1
ENSG00000138685,4,123747863,123819391,1
ENSG00000138756,4,79697496,79837526,1
ENSG00000139496,13,25875662,25923938,1
ENSG00000140280,15,52015208,52043782,-1
ENSG00000140374,15,76507696,76603813,-1
ENSG00000140511,15,89420519,89438857,-1
ENSG00000140545,15,89441916,89456642,-1
ENSG00000140941,16,87417601,87438385,1
ENSG00000141179,17,53828340,53920191,1
ENSG00000141401,18,11981024,12030876,1
ENSG00000141504,17,7529552,7531194,-1
ENSG00000141753,17,38599702,38613983,1
ENSG00000141873,19,2732202,2740150,-1
ENSG00000141959,21,45719934,45747259,1
ENSG00000143061,1,117117031,117210375,-1
ENSG00000143158,1,167885967,167906278,-1
ENSG00000143226,1,161475220,161493803,1
ENSG00000143303,1,156698234,156706752,1
ENSG00000143324,1,180601140,180859387,1
ENSG00000143382,1,150521884,150533413,1
ENSG00000143418,1,150933059,150947479,-1
ENSG00000143797,2,8992820,9143942,-1
ENSG00000143811,1,226107578,226111978,-1
ENSG00000143815,1,225589204,225616627,-1
ENSG00000143889,2,38789120,38830728,-1
ENSG00000143891,2,38893052,38968379,1
ENSG00000144118,2,120997640,121052289,1
ENSG00000144161,2,112969102,113012713,-1
ENSG00000144674,3,37284668,37408242,1
ENSG00000145248,4,48485360,48491213,1
ENSG00000145375,4,123844229,124240605,1
ENSG00000145687,5,80708840,81047616,-1
ENSG00000145703,5,75699074,76003957,1
ENSG00000146278,6,89790470,89794879,1
ENSG00000146830,7,100277130,100287071,-1
ENSG00000147155,X,48379546,48387104,1
ENSG00000147454,8,23386318,23432976,1
ENSG00000147465,8,38001167,38008783,-1
ENSG00000147689,8,124191200,124222314,1
ENSG00000147872,9,19108373,19149288,-1
ENSG00000148334,9,130882972,130890741,-1
ENSG00000148429,10,11495945,11653753,-1
ENSG00000148841,10,106071894,106098162,-1
ENSG00000148926,11,10326227,10328944,1
ENSG00000149089,11,34874641,34938046,-1
ENSG00000149218,11,94822974,94865809,1
ENSG00000149257,11,75273101,75283828,1
ENSG00000149557,11,125315646,125366213,-1
ENSG00000149792,11,64889655,64894843,1
ENSG00000150045,12,9980077,9997606,1
ENSG00000150347,10,63661059,63856703,1
ENSG00000150593,10,112631565,112659764,1
ENSG00000150687,11,86502101,86663952,1
ENSG00000150991,12,125396150,125401914,-1
ENSG00000151632,10,5029967,5060223,-1
ENSG00000152078,1,95582894,95663163,1
ENSG00000152518,2,43449541,43453748,-1
ENSG00000152804,10,94447945,94455403,1
ENSG00000153395,5,1456595,1524092,-1
ENSG00000153721,6,154708638,154831793,-1
ENSG00000154229,17,64298754,64806861,1
ENSG00000154310,3,170779128,171178197,-1
ENSG00000154767,3,14186647,14220283,-1
ENSG00000154839,18,47901365,47920543,1
ENSG00000155307,21,15857549,15955723,-1
ENSG00000155506,5,154092462,154197167,1
ENSG00000156509,8,101145588,101158028,-1
ENSG00000157404,4,55524085,55606881,1
ENSG00000157827,2,153191751,153506348,1
ENSG00000157985,2,236402733,237040444,1
ENSG00000158296,20,45186463,45304714,-1
ENSG00000158373,6,26158349,26171577,1
ENSG00000158406,6,26281283,26285762,-1
ENSG00000158578,X,55035488,55057497,-1
ENSG00000158716,1,159750722,159752333,1
ENSG00000158941,8,22462145,22479027,1
ENSG00000159023,1,29213603,29446553,1
ENSG00000159388,1,203274619,203278730,1
ENSG00000160213,21,45192393,45196326,-1
ENSG00000160813,7,100032905,100034188,-1
ENSG00000161249,19,35988122,36004560,-1
ENSG00000161395,17,37827375,37853050,-1
ENSG00000161513,17,72858619,72869156,-1
ENSG00000162510,1,31184124,31196434,-1
ENSG00000162511,1,31205316,31230667,-1
ENSG00000162636,1,109102711,109187522,1
ENSG00000162722,1,248020501,248041507,1
ENSG00000162783,1,181057638,181059977,1
ENSG00000163040,2,132285248,132291239,1
ENSG00000163064,2,119599747,119605254,-1
ENSG00000163171,2,37869032,37965611,-1
ENSG00000163191,1,152004982,152020383,-1
ENSG00000163218,1,153302596,153321316,-1
ENSG00000163297,4,80822303,81046608,-1
ENSG00000163435,1,201977073,201986316,1
ENSG00000163440,4,56422692,56458379,-1
ENSG00000163444,1,202976514,202993976,1
ENSG00000163554,1,158580496,158656488,-1
ENSG00000163602,3,72420976,72496069,-1
ENSG00000163734,4,74902306,74904524,-1
ENSG00000163931,3,53258723,53290068,-1
ENSG00000163958,3,195924320,195938308,-1
ENSG00000164172,5,52391509,52405893,-1
ENSG00000164237,5,10275987,10308138,-1
ENSG00000164442,6,139693393,139695757,-1
ENSG00000164463,5,172483355,172566291,1
ENSG00000164733,8,11700033,11726957,-1
ENSG00000164941,8,95825539,95893974,1
ENSG00000165060,9,71650175,71715094,1
ENSG00000165650,10,119040000,119134978,-1
ENSG00000165702,9,135820932,135867083,1
ENSG00000165714,12,12510013,12619840,1
ENSG00000166501,16,23847322,24231932,1
ENSG00000166669,16,10420291,10577495,1
ENSG00000166863,12,57403784,57422667,-1
ENSG00000166902,11,59573608,59578345,-1
ENSG00000167085,17,47481414,47492246,-1
ENSG00000167476,19,2252251,2269758,-1
ENSG00000167536,17,27224799,27230089,-1
ENSG00000167552,12,49578579,49583107,-1
ENSG00000167996,11,61727190,61735132,-1
ENSG00000168016,3,36868311,36986548,-1
ENSG00000168062,11,64755415,64764517,-1
ENSG00000168071,11,64107695,64125006,1
ENSG00000168298,6,26156559,26157343,1
ENSG00000168461,18,9708162,9862548,1
ENSG00000168785,4,99391518,99579780,-1
ENSG00000168924,4,1813206,1857974,-1
ENSG00000169018,15,68570141,68588203,1
ENSG00000169136,19,50431959,50437192,1
ENSG00000169442,1,26644448,26647014,1
ENSG00000169554,2,145141648,145282147,-1
ENSG00000169750,17,79989500,79992080,1
ENSG00000169860,3,152552736,152555841,1
ENSG00000169891,X,16964814,17171395,1
ENSG00000170456,12,31535157,31744031,-1
ENSG00000170522,4,110967002,111120355,-1
ENSG00000170860,3,14219858,14242619,1
ENSG00000171161,1,249132409,249143716,1
ENSG00000171169,9,130823512,130830485,-1
ENSG00000171345,17,39679869,39684560,-1
ENSG00000171561,11,74799758,74800799,-1
ENSG00000171617,5,73923234,73937249,-1
ENSG00000171681,12,14518610,14651697,1
ENSG00000171867,20,4666882,4682236,1
ENSG00000172086,2,88326724,88355248,-1
ENSG00000172270,19,571297,583493,1
ENSG00000172331,7,134331560,134364565,1
ENSG00000172889,9,139553308,139567130,1
ENSG00000172927,11,69061605,69182494,1
ENSG00000173559,2,192542794,192561385,1
ENSG00000173757,17,40351186,40428725,-1
ENSG00000173801,17,39775692,39943183,-1
ENSG00000173821,17,78234665,78372586,1
ENSG00000173848,10,5454514,5500426,1
ENSG00000173905,3,167726465,167813763,-1
ENSG00000174371,1,242011269,242058450,1
ENSG00000174456,12,110465872,110511491,-1
ENSG00000174579,3,135867764,135916083,-1
ENSG00000175040,3,142838173,142841800,1
ENSG00000175550,11,65686728,65689032,1
ENSG00000175581,11,73498361,73576178,1
ENSG00000175592,11,65659520,65668044,-1
ENSG00000176485,11,63340667,63384355,-1
ENSG00000177426,18,3411606,3458409,1
ENSG00000178163,4,10441498,10459034,-1
ENSG00000178538,8,61099906,61193971,-1
ENSG00000178996,5,53813589,53842415,1
ENSG00000179097,3,88039846,88042919,1
ENSG00000179348,3,128198270,128212028,-1
ENSG00000180425,11,114262165,114271139,-1
ENSG00000180530,21,16333556,16437321,-1
ENSG00000180537,6,13924677,13980533,1
ENSG00000180573,6,26124373,26139344,1
ENSG00000180964,X,102507923,102510131,-1
ENSG00000181004,4,123653857,123666098,1
ENSG00000181045,17,78193498,78227299,1
ENSG00000181788,3,150458914,150481264,-1
ENSG00000182118,1,231154704,231175992,-1
ENSG00000182512,14,95999840,96011061,1
ENSG00000182541,22,31608225,31676066,1
ENSG00000182704,11,76493295,76509198,1
ENSG00000182871,21,46825052,46933634,1
ENSG00000183496,15,82334119,82338482,-1
ENSG00000183831,1,173578700,173639001,-1
ENSG00000183971,16,2059927,2070756,1
ENSG00000184182,2,238875469,238951236,1
ENSG00000184216,X,153275951,153285431,-1
ENSG00000184357,6,27834570,27835359,-1
ENSG00000184557,17,76352864,76356158,-1
ENSG00000184785,X,134124968,134126501,1
ENSG00000184988,17,41363854,41372061,1
ENSG00000185090,1,38259474,38266809,1
ENSG00000185551,15,96869167,96883492,1
ENSG00000185624,17,79801035,79818570,-1
ENSG00000185885,11,313506,315272,1
ENSG00000186314,5,144851362,145214932,-1
ENSG00000186480,7,155089486,155101945,1
ENSG00000186998,22,29601840,29655586,1
ENSG00000187098,3,69788586,70017488,1
ENSG00000187134,10,4934796,5025475,1
ENSG00000187688,17,16318856,16340317,1
ENSG00000187773,18,72102963,72125179,-1
ENSG00000187837,6,26055968,26056699,-1
ENSG00000188042,2,235401685,235405697,-1
ENSG00000189056,7,103112231,103629963,-1
ENSG00000189120,17,45922279,45933240,-1
ENSG00000196233,10,98592017,98740800,1
ENSG00000196705,19,21324827,21373034,1
ENSG00000196730,9,90112143,90323548,1
ENSG00000196757,19,12035883,12061588,1
ENSG00000196776,3,107762145,107809872,-1
ENSG00000196850,12,110969120,111021125,-1
ENSG00000197061,6,26104104,26104518,1
ENSG00000197279,6,28048753,28057341,1
ENSG00000197415,3,156977531,157251408,-1
ENSG00000197451,5,177631508,177638164,1
ENSG00000197587,1,46972668,46979898,1
ENSG00000197746,10,73576055,73611126,-1
ENSG00000197903,6,27106073,27114619,-1
ENSG00000197956,1,153507075,153508720,-1
ENSG00000197961,19,9671029,9695209,-1
ENSG00000197993,7,142638201,142659768,-1
ENSG00000198039,7,64330550,64391344,1
ENSG00000198087,6,47445525,47594999,1
ENSG00000198130,2,191054461,191208919,-1
ENSG00000198315,6,28109688,28127250,1
ENSG00000198336,17,45277812,45301045,1
ENSG00000198498,4,164415594,164441691,1
ENSG00000198721,6,4115923,4135831,-1
ENSG00000198729,6,150464212,150571493,1
ENSG00000198909,17,61699775,61773663,1
ENSG00000204291,9,101705461,101833069,1
ENSG00000204315,6,32096484,32098068,-1
ENSG00000204713,6,28870779,28891766,-1
ENSG00000205542,X,12993227,12995346,1
ENSG00000215305,20,2821349,2847378,1
ENSG00000244187,9,139685807,139687709,1
ENSG00000244734,11,5246694,5250625,-1
ENSG00000254087,8,56792372,56923940,1
ENSG00000257704,19,47778142,47778979,1
ENSG00000257727,12,56703626,56710120,-1
