Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand
ENSG00000138756,4,78776342,78916365,1
ENSG00000139496,13,25301524,25365390,1
ENSG00000140280,15,51723011,51751585,-1
ENSG00000140374,15,76188555,76311730,-1
ENSG00000140511,15,88877294,88895597,-1
ENSG00000140545,15,88898683,88913468,-1
ENSG00000140941,16,87383953,87405090,1
ENSG00000141179,17,55751051,55842830,1
ENSG00000141401,18,11981025,12030877,1
ENSG00000141504,17,7626234,7627876,-1
ENSG00000141753,17,40443446,40457727,1
ENSG00000141873,19,2732204,2740070,-1
ENSG00000141959,21,44300017,44327377,1
ENSG00000143061,1,116574399,116667820,-1
ENSG00000143158,1,167916675,167937502,-1
ENSG00000143226,1,161505415,161524013,1
ENSG00000143303,1,156728442,156736960,1
ENSG00000143324,1,180632016,180890279,1
ENSG00000143382,1,150549369,150560937,1
ENSG00000143418,1,150960583,150977396,-1
ENSG00000143797,2,8852690,9003747,-1
ENSG00000143811,1,225919397,225924340,-1
ENSG00000143815,1,225400900,225428925,-1
ENSG00000143889,2,38561969,38603586,-1
ENSG00000143891,2,38666081,38741237,1
ENSG00000144118,2,120240050,120305300,1
ENSG00000144161,2,112211529,112255151,-1
ENSG00000144674,3,37243184,37366879,1
ENSG00000145248,4,48483343,48489526,1
ENSG00000145375,4,122923070,123319433,1
ENSG00000145687,5,81412804,81752038,-1
ENSG00000145703,5,76403285,76708132,1
ENSG00000146278,6,89080751,89085160,1
ENSG00000146830,7,100679505,100694480,-1
ENSG00000147155,X,48521089,48528716,1
ENSG00000147454,8,23528956,23575463,1
ENSG00000147465,8,38141747,38151061,-1
ENSG00000147689,8,123178960,123210079,1
ENSG00000147872,9,19108375,19149369,-1
ENSG00000148334,9,128120693,128128462,-1
ENSG00000148429,10,11460328,11611803,-1
ENSG00000148841,10,104309698,104338812,-1
ENSG00000148926,11,10303392,10307397,1
ENSG00000149089,11,34853094,34916520,-1
ENSG00000149218,11,95089817,95132645,1
ENSG00000149257,11,75561564,75572787,1
ENSG00000149557,11,125442881,125592578,-1
ENSG00000149792,11,65122183,65127371,1
ENSG00000150045,12,9827481,9845007,1
ENSG00000150347,10,61901684,62096944,1
ENSG00000150593,10,110871795,110900006,1
ENSG00000150687,11,86791059,86952910,1
ENSG00000150991,12,124911604,124917368,-1
ENSG00000151632,10,4987775,5018031,-1
ENSG00000152078,1,95117292,95197607,1
ENSG00000152518,2,43222402,43226606,-1
ENSG00000152804,10,92689903,92695647,1
ENSG00000153395,5,1456480,1524282,-1
ENSG00000153721,6,154387515,154510685,-1
ENSG00000154229,17,66302613,66810743,1
ENSG00000154310,3,171058414,171460408,-1
ENSG00000154767,3,14145145,14178652,-1
ENSG00000154839,18,50375017,50394176,1
ENSG00000155307,21,14485228,14658821,-1
ENSG00000155506,5,154682986,154817605,1
ENSG00000156509,8,100133351,100145817,-1
ENSG00000157404,4,54657267,54740783,1
ENSG00000157827,2,152335136,152649831,1
ENSG00000157985,2,235494043,236131793,1
ENSG00000158296,20,46557823,46684467,-1
ENSG00000158373,6,26158122,26171349,1
ENSG00000158406,6,26277609,26285638,-1
ENSG00000158578,X,55009055,55030986,-1
ENSG00000158716,1,159780932,159782543,1
ENSG00000158941,8,22604629,22620964,1
ENSG00000159023,1,28887091,29120046,1
ENSG00000159388,1,203305491,203309602,1
ENSG00000160213,21,43772511,43776579,-1
ENSG00000160813,7,100435282,100436497,-1
ENSG00000161249,19,35497220,35513693,-1
ENSG00000161395,17,39671122,39696797,-1
ENSG00000161513,17,74862494,74873039,-1
ENSG00000162510,1,30711277,30723585,-1
ENSG00000162511,1,30732465,30757855,-1
ENSG00000162636,1,108560036,108644900,1
ENSG00000162722,1,247857187,247880138,1
ENSG00000162783,1,181088700,181092900,1
ENSG00000163040,2,131527675,131533666,1
ENSG00000163064,2,118842171,118847648,-1
ENSG00000163171,2,37641882,37738468,-1
ENSG00000163191,1,152032504,152047907,-1
ENSG00000163218,1,153330120,153348841,-1
ENSG00000163297,4,79901146,80125454,-1
ENSG00000163435,1,202007945,202017183,1
ENSG00000163440,4,55556519,55592245,-1
ENSG00000163444,1,203007356,203024848,1
ENSG00000163554,1,158610704,158686715,-1
ENSG00000163602,3,72371825,72446621,-1
ENSG00000163734,4,74036589,74038807,-1
ENSG00000163931,3,53224712,53256052,-1
ENSG00000163958,3,196197452,196211437,-1
ENSG00000164172,5,53095679,53113016,-1
ENSG00000164237,5,10275875,10307974,-1
ENSG00000164442,6,139371807,139375909,-1
ENSG00000164463,5,173056352,173139284,1
ENSG00000164733,8,11842524,11869533,-1
ENSG00000164941,8,94813311,94881746,1
ENSG00000165060,9,69035750,69079076,1
ENSG00000165650,10,117277274,117376020,-1
ENSG00000165702,9,132944000,132991687,1
ENSG00000165714,12,12357078,12471233,1
ENSG00000166501,16,23835959,24220611,1
ENSG00000166669,16,10326434,10483640,1
ENSG00000166863,12,57010000,57028883,-1
ENSG00000166902,11,59806140,59810779,-1
ENSG00000167085,17,49404009,49414905,-1
ENSG00000167476,19,2252074,2269759,-1
ENSG00000167536,17,28897781,28903079,-1
ENSG00000167552,12,49184686,49189324,-1
ENSG00000167996,11,61959718,61967634,-1
ENSG00000168016,3,36826817,36945057,-1
ENSG00000168062,11,64987945,64997018,-1
ENSG00000168071,11,64340204,64357534,1
ENSG00000168298,6,26156329,26157115,1
ENSG00000168461,18,9708246,9862551,1
ENSG00000168785,4,98470365,98658690,-1
ENSG00000168924,4,1811479,1856232,-1
ENSG00000169018,15,68277745,68295862,1
ENSG00000169136,19,49923910,49933935,1
ENSG00000169442,1,26317958,26320523,1
ENSG00000169554,2,144364364,144521057,-1
ENSG00000169750,17,82031637,82034204,1
ENSG00000169860,3,152835131,152841439,1
ENSG00000169891,X,16946658,17153272,1
ENSG00000170456,12,31382226,31591170,-1
ENSG00000170522,4,110045846,110199199,-1
ENSG00000170860,3,14178801,14201122,1
ENSG00000171161,1,248838210,248849520,1
ENSG00000171169,9,128061233,128068206,-1
ENSG00000171345,17,41523613,41528308,-1
ENSG00000171561,11,75081753,75096876,-1
ENSG00000171617,5,74627406,74641424,-1
ENSG00000171681,12,14365627,14502931,1
ENSG00000171867,20,4685730,4701590,1
ENSG00000172086,2,88027203,88064252,-1
ENSG00000172270,19,571277,583498,1
ENSG00000172331,7,134646811,134679816,1
ENSG00000172889,9,136658284,136672679,1
ENSG00000172927,11,69294129,69341682,1
ENSG00000173559,2,191678068,191741097,1
ENSG00000173757,17,42199176,42288633,-1
ENSG00000173801,17,41750887,41786931,-1
ENSG00000173821,17,80260852,80398794,1
ENSG00000173848,10,5412557,5459056,1
ENSG00000173905,3,168008672,168096536,-1
ENSG00000174371,1,241847967,241895148,1
ENSG00000174456,12,110027028,110073636,-1
ENSG00000174579,3,136148917,136197241,-1
ENSG00000175040,3,143119771,143124014,1
ENSG00000175550,11,65919274,65921563,1
ENSG00000175581,11,73787872,73865133,1
ENSG00000175592,11,65892049,65900573,-1
ENSG00000176485,11,63573172,63616883,-1
ENSG00000177426,18,3411608,3459978,1
ENSG00000178163,4,10439873,10461381,-1
ENSG00000178538,8,60185412,60281573,-1
ENSG00000178996,5,54517727,54546586,1
ENSG00000179097,3,87792704,87993839,1
ENSG00000179348,3,128479423,128493208,-1
ENSG00000180425,11,114391443,114400511,-1
ENSG00000180530,21,14961235,15065936,-1
ENSG00000180537,6,13924446,13980310,1
ENSG00000180573,6,26124145,26139116,1
ENSG00000180964,X,103252863,103255204,-1
ENSG00000181004,4,122732702,122744942,1
ENSG00000181045,17,80219699,80253509,1
ENSG00000181788,3,150741125,150763477,-1
ENSG00000182118,1,231018958,231040254,-1
ENSG00000182512,14,95533503,95544724,1
ENSG00000182541,22,31212193,31280964,1
ENSG00000182704,11,76781403,76798157,1
ENSG00000182871,21,45405123,45513721,1
ENSG00000183496,15,82041778,82046119,-1
ENSG00000183831,1,173608336,173669851,-1
ENSG00000183971,16,2009926,2020755,1
ENSG00000184182,2,237966827,238045486,1
ENSG00000184216,X,154010504,154019927,-1
ENSG00000184357,6,27866792,27867588,-1
ENSG00000184557,17,78356778,78360930,-1
ENSG00000184785,X,134990991,134992473,1
ENSG00000184988,17,43211835,43220041,1
ENSG00000185090,1,37793847,37804557,1
ENSG00000185551,15,96325797,96340263,1
ENSG00000185624,17,81843159,81860856,-1
ENSG00000185885,11,310041,315273,1
ENSG00000186314,5,145471799,145835369,-1
ENSG00000186480,7,155296731,155311963,1
ENSG00000186998,22,29205809,29259598,1
ENSG00000187098,3,69738536,69968336,1
ENSG00000187134,10,4963253,4983283,1
ENSG00000187688,17,16415571,16437003,1
ENSG00000187773,18,74434775,74457944,-1
ENSG00000187837,6,26054760,26056470,-1
ENSG00000188042,2,234493041,234497081,-1
ENSG00000189056,7,103471381,103989658,-1
ENSG00000189120,17,47844908,47855874,-1
ENSG00000196233,10,96831803,96995956,1
ENSG00000196705,19,21142005,21196053,1
ENSG00000196730,9,87497228,87709073,1
ENSG00000196757,19,11925068,11950773,1
ENSG00000196776,3,108043091,108091862,-1
ENSG00000196850,12,110533245,110583383,-1
ENSG00000197061,6,26103933,26104337,1
ENSG00000197279,6,28080568,28089563,1
ENSG00000197415,3,157259742,157533619,-1
ENSG00000197451,5,178204479,178211183,1
ENSG00000197587,1,46489822,46516218,1
ENSG00000197746,10,71816289,71851330,-1
ENSG00000197903,6,27137298,27146857,-1
ENSG00000197956,1,153534591,153536549,-1
ENSG00000197961,19,9560329,9584504,-1
ENSG00000197993,7,142941114,142962363,-1
ENSG00000198039,7,64870172,64930981,1
ENSG00000198087,6,47477752,47627263,1
ENSG00000198130,2,190189735,190344193,-1
ENSG00000198315,6,28141732,28159461,1
ENSG00000198336,17,47200446,47227683,1
ENSG00000198498,4,163494442,163520733,1
ENSG00000198721,6,4115685,4135597,-1
ENSG00000198729,6,150143044,150250392,1
ENSG00000198909,17,63622381,63696305,1
ENSG00000204291,9,98942680,99070797,1
ENSG00000204315,6,32128697,32131070,-1
ENSG00000204713,6,28903002,28923988,-1
ENSG00000205542,X,12975107,12977227,1
ENSG00000215305,20,2840689,2866800,1
ENSG00000244187,9,136791303,136793317,1
ENSG00000244734,11,5225464,5229395,-1
ENSG00000254087,8,55879825,56014169,1
ENSG00000257704,19,47274373,47277755,1
ENSG00000257727,12,56308024,56316346,-1
