chr	start	end	Element name	Gene	class	Cell type	Fraction change in gene expr	Adjusted p-value	Significant	RNA readout method	Perturbation method	nKO	nCtrl	semKO	semCtrl	Power to detect 25% effects	Gene TSS	Normalized HiC Contacts	DHS (RPM)	H3K27ac (RPM)	Activity	ABC Score	Reference
chr8	128842745	128845245	genic|chr8:128843745-128844245	MYC	genic	K562	0.00673153	0.522084517097	0	Proliferation Screen	KRAB-dCas9	46	3919	0.0110207766269	0.00157100758078	1	128748314	22.2853602154082	2.959279	1.330695	1.963718	0.003425625201013	Fulco2016
chr8	128855505	128858085	genic|chr8:128857945-128858445-genic|chr8:128856505-128857085	MYC	genic	K562	-0.00585378	0.861630692157	0	Proliferation Screen	KRAB-dCas9	45	3919	0.014470760015	0.00157100758078	1	128748314	20.9212069189775	1.749929	3.685002	2.535221	0.004151868826313	Fulco2016
chr8	128856945	128859445	genic|chr8:128857945-128858445-genic|chr8:128858545-128859045-genic|chr8:128856505-128857085	MYC	genic	K562	-0.01719678	0.787339520015	0	Proliferation Screen	KRAB-dCas9	60	3919	0.0126264300685	0.00157100758078	1	128748314	20.9212069189775	2.431462	4.913336	3.450179	0.00565027294871	Fulco2016
chr8	128857545	128860045	genic|chr8:128857945-128858445-genic|chr8:128858545-128859045-genic|chr8:128859805-128860425	MYC	genic	K562	0.00474973	0.530914033569	0	Proliferation Screen	KRAB-dCas9	57	3919	0.0123450636394	0.00157100758078	1	128748314	19.7677943279472	2.248503	2.866113	2.475892	0.003848908103082	Fulco2016
chr8	128858805	128861425	genic|chr8:128858545-128859045-genic|chr8:128859805-128860425	MYC	genic	K562	0.02264285	0.247779508207	0	Proliferation Screen	KRAB-dCas9	29	3919	0.0158956015008	0.00157100758078	1	128748314	19.191088032432	1.621483	1.842501	1.674753	0.002536902546311	Fulco2016
chr8	128862585	128865725	genic|chr8:128863585-128864725	MYC	genic	K562	0.0065342	0.212245630701	0	Proliferation Screen	KRAB-dCas9	128	3919	0.00780199399074	0.00157100758078	1	128748314	17.4609691458865	5.661467	13.614035	8.900143	0.012164839829311	Fulco2016
chr8	128865365	128868165	genic|chr8:128866365-128867165	MYC	genic	K562	0.00871315	0.172879532657	0	Proliferation Screen	KRAB-dCas9	118	3919	0.00723965007646	0.00157100758078	1	128748314	17.4921363016603	2.91309	17.60612	7.172369	0.009820792682588	Fulco2016
chr8	128870905	128873425	genic|chr8:128871905-128872425	MYC	genic	K562	-0.00176291	0.691148766628	0	Proliferation Screen	KRAB-dCas9	83	3919	0.00825575885284	0.00157100758078	1	128748314	11.9140969339546	4.827833	3.070835	3.840435	0.003581645625932	Fulco2016
chr8	128877565	128880065	genic|chr8:128878565-128879065	MYC	genic	K562	0.01531621	0.181285360117	0	Proliferation Screen	KRAB-dCas9	62	3919	0.0117535345915	0.00157100758078	1	128748314	20.2016766863559	1.356376	0.92125	1.117838	0.001767695070598	Fulco2016
chr8	128886765	128889365	genic|chr8:128887765-128888365	MYC	genic	K562	0.00012099	0.637865740804	0	Proliferation Screen	KRAB-dCas9	75	3919	0.0136176600196	0.00157100758078	1	128748314	13.7844490805098	1.824244	1.637779	1.728499	0.001865089218847	Fulco2016
chr8	128901145	128904065	genic|chr8:128902145-128903065	MYC	genic	K562	-0.00676695	0.855921739898	0	Proliferation Screen	KRAB-dCas9	100	3919	0.0101178707227	0.00157100758078	1	128748314	17.2462208794185	3.337296	6.653476	4.713601	0.00636337953441	Fulco2016
chr8	128903245	128905745	genic|chr8:128905005-128905505-genic|chr8:128904245-128904745	MYC	genic	K562	-0.01377713	0.861630692157	0	Proliferation Screen	KRAB-dCas9	43	3919	0.0124106453567	0.00157100758078	1	128748314	19.9222620731067	3.442783	7.370004	4.939432	0.008032972017772	Fulco2016
chr8	128904005	128906505	genic|chr8:128905005-128905505-genic|chr8:128904245-128904745	MYC	genic	K562	-0.02940357	0.371210471502	0	Proliferation Screen	KRAB-dCas9	55	3919	0.015685663713	0.00157100758078	1	128748314	19.9222620731067	3.442783	7.370004	4.939432	0.008032972017772	Fulco2016
chr8	128905785	128908325	genic|chr8:128906785-128907325-genic|chr8:128907905-128908405	MYC	genic	K562	-0.03747372	0.284255665129	0	Proliferation Screen	KRAB-dCas9	38	3919	0.0136758531064	0.00157100758078	1	128748314	22.598303266795	9.603432	3.685002	5.928433	0.010487133925363	Fulco2016
chr8	128906905	128909405	genic|chr8:128906785-128907325-genic|chr8:128907905-128908405-genic|chr8:128908965-128909485	MYC	genic	K562	-0.04832842	0.535024172688	0	Proliferation Screen	KRAB-dCas9	8	3919	0.0334530610701	0.00157100758078	0.999999969753	128748314	22.598303266795	11.469244	13.511674	10.234769	0.018104850505717	Fulco2016
chr8	128907965	128910485	genic|chr8:128907905-128908405-genic|chr8:128908965-128909485	MYC	genic	K562	-0.04126198	0.065106054089	0	Proliferation Screen	KRAB-dCas9	67	3919	0.011231670764	0.00157100758078	1	128748314	22.598303266795	8.121695	12.180979	8.146197	0.014410259662443	Fulco2016
chr8	128916005	128918585	genic|chr8:128917005-128917585-genic|chr8:128918445-128918985	MYC	genic	K562	0.00118891	0.637865740804	0	Proliferation Screen	KRAB-dCas9	57	3919	0.012714065501	0.00157100758078	1	128748314	16.9696958796031	4.782155	4.708614	4.668543	0.006201496287885	Fulco2016
chr8	128917445	128919985	genic|chr8:128917005-128917585-genic|chr8:128918445-128918985-genic|chr8:128919965-128920525	MYC	genic	K562	-0.00919012	0.963539534364	0	Proliferation Screen	KRAB-dCas9	58	3919	0.0116469952934	0.00157100758078	1	128748314	18.4362576829426	5.843812	5.834587	5.761884	0.008030390763505	Fulco2016
chr8	128918965	128921525	genic|chr8:128918445-128918985-genic|chr8:128919965-128920525	MYC	genic	K562	-0.02360129	0.62722835694	0	Proliferation Screen	KRAB-dCas9	46	3919	0.0121110595745	0.00157100758078	1	128748314	19.1695385846124	4.714073	3.992086	4.324015	0.00612038602199	Fulco2016
chr8	128922045	128924785	genic|chr8:128923045-128923785-genic|chr8:128923905-128924405	MYC	genic	K562	0.00260243	0.454531251878	0	Proliferation Screen	KRAB-dCas9	102	3919	0.00735069500409	0.00157100758078	1	128748314	21.3693812896217	11.943034	10.850283	11.080291	0.018534641066382	Fulco2016
chr8	128922905	128925405	genic|chr8:128923045-128923785-genic|chr8:128923905-128924405	MYC	genic	K562	0.01760109	0.171980596044	0	Proliferation Screen	KRAB-dCas9	55	3919	0.0138003539458	0.00157100758078	1	128748314	21.3693812896217	11.943034	10.850283	11.080291	0.018534641066382	Fulco2016
chr8	128924725	128927225	genic|chr8:128926445-128926985-genic|chr8:128925725-128926225	MYC	genic	K562	0.0104336	0.218710653111	0	Proliferation Screen	KRAB-dCas9	81	3919	0.00857687103058	0.00157100758078	1	128748314	19.5967352562601	7.978777	5.936947	5.481908	0.008409235863943	Fulco2016
chr8	128925445	128927985	genic|chr8:128926445-128926985-genic|chr8:128925725-128926225	MYC	genic	K562	-0.01873296	0.861630692157	0	Proliferation Screen	KRAB-dCas9	9	3919	0.0228860470577	0.00157100758078	1	128748314	19.5967352562601	7.978777	5.936947	5.481908	0.008409235863943	Fulco2016
chr8	128927405	128929925	genic|chr8:128928405-128928925-genic|chr8:128929245-128930145	MYC	genic	K562	-0.00133098	0.787339520015	0	Proliferation Screen	KRAB-dCas9	42	3919	0.0168559688735	0.00157100758078	1	128748314	19.5967352562601	7.17392	6.448753	6.818267	0.01045920788644	Fulco2016
chr8	128928245	128931145	genic|chr8:128930785-128931285-genic|chr8:128928405-128928925-genic|chr8:128929245-128930145	MYC	genic	K562	0.00464598	0.326245287134	0	Proliferation Screen	KRAB-dCas9	115	3919	0.00772441474084	0.00157100758078	1	128748314	17.6446015140347	8.320448	8.291254	8.266781	0.012017184926738	Fulco2016
chr8	128929785	128932285	genic|chr8:128931405-128931905-genic|chr8:128930785-128931285-genic|chr8:128932145-128932705-genic|chr8:128929245-128930145	MYC	genic	K562	-0.00382086	0.836255256446	0	Proliferation Screen	KRAB-dCas9	49	3919	0.0132756997289	0.00157100758078	1	128748314	15.2044343362529	10.480217	12.180978	11.049572	0.014418055305494	Fulco2016
chr8	128930405	128932905	genic|chr8:128931405-128931905-genic|chr8:128930785-128931285-genic|chr8:128932145-128932705	MYC	genic	K562	-0.02054825	0.694226692632	0	Proliferation Screen	KRAB-dCas9	50	3919	0.0102211013273	0.00157100758078	1	128748314	13.7403340295838	4.664917	6.960559	5.523139	0.00594051818096	Fulco2016
chr8	128931145	128933705	genic|chr8:128931405-128931905-genic|chr8:128930785-128931285-genic|chr8:128932145-128932705	MYC	genic	K562	-0.00452671	0.844496948353	0	Proliferation Screen	KRAB-dCas9	50	3919	0.0100862017141	0.00157100758078	1	128748314	13.7403340295838	4.664917	6.960559	5.523139	0.00594051818096	Fulco2016
chr8	128937265	128939805	genic|chr8:128938265-128938805	MYC	genic	K562	0.00530154	0.364384738058	0	Proliferation Screen	KRAB-dCas9	90	3919	0.00984452256705	0.00157100758078	1	128748314	12.3292881035535	5.014814	4.196808	4.591458	0.00443128499843	Fulco2016
chr8	128939265	128942065	genic|chr8:128940265-128941065	MYC	genic	K562	0.01576481	0.124582781647	0	Proliferation Screen	KRAB-dCas9	75	3919	0.0118303888392	0.00157100758078	1	128748314	20.7612833853688	3.764195	1.842501	2.624619	0.004265417343408	Fulco2016
chr8	128956665	128959265	genic|chr8:128958765-128959265-genic|chr8:128957665-128958265	MYC	genic	K562	0.00020395	0.637865740804	0	Proliferation Screen	KRAB-dCas9	75	3919	0.00853001230459	0.00157100758078	1	128748314	13.9342054404644	2.913886	5.220419	3.904039	0.004258311450905	Fulco2016
chr8	128957765	128960265	genic|chr8:128958765-128959265-genic|chr8:128957665-128958265	MYC	genic	K562	-0.02836669	0.551494792338	0	Proliferation Screen	KRAB-dCas9	33	3919	0.0157866529252	0.00157100758078	1	128748314	13.9342054404644	2.913886	5.220419	3.904039	0.004258311450905	Fulco2016
chr8	128959665	128962219	genic|chr8:128961765-128962285-promoter|chr8:128960665-128961219	MYC	promoter	K562	-0.00962074	0.982839330282	0	Proliferation Screen	KRAB-dCas9	39	3919	0.0120557577347	0.00157100758078	1	128748314	12.7419763085911	4.239059	6.755837	5.3591	0.005345270894317	Fulco2016
chr8	128960765	128963285	genic|chr8:128961765-128962285-promoter|chr8:128960665-128961219	MYC	promoter	K562	-0.01720335	0.71951985763	0	Proliferation Screen	KRAB-dCas9	95	3919	0.0107606869381	0.00157100758078	1	128748314	12.7419763085911	4.239059	6.755837	5.3591	0.005345270894317	Fulco2016
chr8	128962705	128965205	genic|chr8:128964265-128964965-genic|chr8:128963705-128964205	MYC	genic	K562	-0.03676669	0.361918562848	0	Proliferation Screen	KRAB-dCas9	31	3919	0.0154329288936	0.00157100758078	1	128748314	12.7419763085911	2.528363	3.173196	2.821698	0.00281441663562	Fulco2016
chr8	128963265	128965965	genic|chr8:128964265-128964965-genic|chr8:128963705-128964205	MYC	genic	K562	-0.0389671	0.146655539441	0	Proliferation Screen	KRAB-dCas9	55	3919	0.0127535047074	0.00157100758078	1	128748314	12.7419763085911	2.528363	3.173196	2.821698	0.00281441663562	Fulco2016
chr8	128969925	128972445	genic|chr8:128970925-128971445-genic|chr8:128971705-128972205	MYC	genic	K562	-0.08460528	2.09028345242E-07	1	Proliferation Screen	KRAB-dCas9	57	3919	0.0128123509303	0.00157100758078	1	128748314	14.3824435469513	2.772671	9.007782	4.994596	0.005623078010464	Fulco2016
chr8	128973565	128976065	genic|chr8:128974565-128975065-genic|chr8:128973245-128974165	MYC	genic	K562	-0.11304734	1.15216445293E-07	1	Proliferation Screen	KRAB-dCas9	31	3919	0.0215484956302	0.00157100758078	1	128748314	14.3824435469513	3.577813	21.700567	8.63099	0.009717048201202	Fulco2016
chr8	128978925	128981445	genic|chr8:128979925-128980445-genic|chr8:128980545-128981045	MYC	genic	K562	-0.03126112	0.362358864619	0	Proliferation Screen	KRAB-dCas9	48	3919	0.0129872769455	0.00157100758078	1	128748314	6.71293437319503	2.823306	6.346392	4.223222	0.002219204776134	Fulco2016
chr8	128979545	128982045	genic|chr8:128979925-128980445-genic|chr8:128980545-128981045-genic|chr8:128981545-128982045	MYC	genic	K562	-0.0228203	0.618982621458	0	Proliferation Screen	KRAB-dCas9	54	3919	0.0135477310342	0.00157100758078	1	128748314	6.71293437319503	4.363891	8.291254	5.965786	0.00313488156308	Fulco2016
chr8	128980545	128983045	genic|chr8:128980545-128981045-genic|chr8:128982865-128983385-genic|chr8:128981545-128982045	MYC	genic	K562	-0.00618242	0.86125785479	0	Proliferation Screen	KRAB-dCas9	57	3919	0.0111913779515	0.00157100758078	1	128748314	6.71293437319503	5.507413	7.267643	6.202649	0.003259347551581	Fulco2016
chr8	128981865	128984385	genic|chr8:128982865-128983385-genic|chr8:128981545-128982045	MYC	genic	K562	-0.04177246	0.175588396708	0	Proliferation Screen	KRAB-dCas9	40	3919	0.00949472312917	0.00157100758078	1	128748314	6.71293437319503	4.21885	4.299169	4.255018	0.002235912833409	Fulco2016
chr8	128987225	128989745	genic|chr8:128988225-128988745	MYC	genic	K562	-0.00209251	0.768795053205	0	Proliferation Screen	KRAB-dCas9	57	3919	0.0125193844847	0.00157100758078	1	128748314	16.9763297770221	1.330588	0.204722	0.521918	0.00069356496008	Fulco2016
chr8	128988905	128991425	genic|chr8:128989905-128990425	MYC	genic	K562	0.029253	0.106144804299	0	Proliferation Screen	KRAB-dCas9	34	3919	0.012546939191	0.00157100758078	1	128748314	17.3343329674107	10.308717	1.433056	3.859527	0.005236996498312	Fulco2016
chr8	128991385	128993885	genic|chr8:128992385-128992885	MYC	genic	K562	0.00142213	0.637865740804	0	Proliferation Screen	KRAB-dCas9	59	3919	0.0146880050956	0.00157100758078	1	128748314	17.3343329674107	0.90627	1.433056	1.144355	0.001552776578017	Fulco2016
chr8	128998905	129001425	genic|chr8:128999905-129000425	MYC	genic	K562	0.00807678	0.394635974004	0	Proliferation Screen	KRAB-dCas9	59	3919	0.0102782259358	0.00157100758078	1	128748314	12.0909683834515	0.916176	0.92125	0.91871	0.000869522040169	Fulco2016
chr8	129003805	129006785	genic|chr8:129004805-129005785	MYC	genic	K562	-0.00307313	0.705478579553	0	Proliferation Screen	KRAB-dCas9	107	3919	0.00795172940562	0.00157100758078	1	128748314	11.440999110104	1.800318	1.330695	1.531654	0.001371720682347	Fulco2016
chr8	129013645	129016225	genic|chr8:129014645-129015225	MYC	genic	K562	0.00515132	0.73805060035	0	Proliferation Screen	KRAB-dCas9	18	3919	0.0180429452669	0.00157100758078	1	128748314	17.4595605245928	4.952598	3.48028	4.143508	0.0056629477573	Fulco2016
chr8	129018705	129021225	genic|chr8:129019705-129020225	MYC	genic	K562	-0.02858409	0.595458943867	0	Proliferation Screen	KRAB-dCas9	28	3919	0.0203690998993	0.00157100758078	1	128748314	13.4525211007014	1.737395	1.330695	1.504649	0.001584455142287	Fulco2016
chr8	129022205	129024765	genic|chr8:129023205-129023765	MYC	genic	K562	0.00848205	0.637865740804	0	Proliferation Screen	KRAB-dCas9	23	3919	0.0189744342242	0.00157100758078	1	128748314	10.1146707463047	0.833255	0.614167	0.715374	0.000566403551133	Fulco2016
chr8	129025545	129028305	genic|chr8:129026545-129027305	MYC	genic	K562	-0.03037065	0.364384738058	0	Proliferation Screen	KRAB-dCas9	51	3919	0.017070413849	0.00157100758078	1	128748314	14.1776915945963	8.049914	7.06292	7.556592	0.008386341913054	Fulco2016
chr8	129027645	129030165	genic|chr8:129028645-129029165	MYC	genic	K562	0.00065956	0.677949012994	0	Proliferation Screen	KRAB-dCas9	52	3919	0.0104260947573	0.00157100758078	1	128748314	14.1776915945963	2.81626	2.354307	2.576366	0.002859263298742	Fulco2016
chr8	129029945	129032445	genic|chr8:129030945-129031445	MYC	genic	K562	-0.00476644	0.844496948353	0	Proliferation Screen	KRAB-dCas9	59	3919	0.012584125009	0.00157100758078	1	128748314	13.9933380120239	0.885925	1.228334	1.043172	0.001142663386584	Fulco2016
chr8	129041645	129044145	genic|chr8:129042645-129043145	MYC	genic	K562	0.02229608	0.212245630701	0	Proliferation Screen	KRAB-dCas9	33	3919	0.0150955652959	0.00157100758078	1	128748314	12.2904068752163	0.828653	1.228334	1.00889	0.000970624263302	Fulco2016
chr8	129046325	129048825	genic|chr8:129047325-129047825	MYC	genic	K562	-0.00265236	0.787339520015	0	Proliferation Screen	KRAB-dCas9	52	3919	0.010092423116	0.00157100758078	1	128748314	13.2597563914713	6.229881	4.40153	5.222391	0.00542058295534	Fulco2016
chr8	129050505	129053025	genic|chr8:129051505-129052025	MYC	genic	K562	-0.01290082	0.861630692157	0	Proliferation Screen	KRAB-dCas9	71	3919	0.00921200447387	0.00157100758078	1	128748314	10.0156492181244	2.732635	1.330695	1.887022	0.001479439243905	Fulco2016
chr8	129058405	129060905	genic|chr8:129059405-129059905-genic|chr8:129058725-129059325-promoter|chr8:129060565-129061065	MYC	promoter	K562	-0.06413128	0.00414753052271	1	Proliferation Screen	KRAB-dCas9	41	3919	0.0163449475329	0.00157100758078	1	128748314	13.7546514006599	13.202736	59.062392	26.69399	0.027137043590921	Fulco2016
chr8	129061805	129064645	genic|chr8:129062005-129062545-promoter|chr8:129061305-129061825-genic|chr8:129062805-129063645	MYC	promoter	K562	-0.03175511	0.194119199338	0	Proliferation Screen	KRAB-dCas9	80	3919	0.0106959635576	0.00157100758078	1	128748314	11.993280279209	13.607118	48.416831	24.843836	0.023323713733052	Fulco2016
chr8	129068085	129070585	genic|chr8:129069085-129069585	MYC	genic	K562	-0.01485039	0.855921739898	0	Proliferation Screen	KRAB-dCas9	42	3919	0.0135869058092	0.00157100758078	1	128748314	12.8428287866448	2.283775	1.637779	1.933991	0.00194426835272	Fulco2016
chr8	129070125	129072625	genic|chr8:129071125-129071625	MYC	genic	K562	0.01165911	0.319972915772	0	Proliferation Screen	KRAB-dCas9	54	3919	0.0137753060393	0.00157100758078	1	128748314	11.7703503939957	1.997621	2.047223	2.023212	0.001864111344353	Fulco2016
chr8	129072645	129075145	genic|chr8:129074945-129075445-genic|chr8:129073645-129074145	MYC	genic	K562	-0.02305408	0.740762107283	0	Proliferation Screen	KRAB-dCas9	24	3919	0.0215671666306	0.00157100758078	1	128748314	11.7127192952456	3.530654	4.606253	3.829177	0.003510389830841	Fulco2016
chr8	129073945	129076445	genic|chr8:129074945-129075445-genic|chr8:129076385-129076945-genic|chr8:129073645-129074145	MYC	genic	K562	-0.01880811	0.787339520015	0	Proliferation Screen	KRAB-dCas9	38	3919	0.0171405984668	0.00157100758078	1	128748314	11.6935089289956	5.945872	7.779449	6.595129	0.006033877976825	Fulco2016
chr8	129075385	129077945	genic|chr8:129074945-129075445-genic|chr8:129077705-129078225-genic|chr8:129076385-129076945	MYC	genic	K562	0.01656477	0.212245630701	0	Proliferation Screen	KRAB-dCas9	49	3919	0.0113993188163	0.00157100758078	1	128748314	11.6550881964956	12.1963	13.818758	12.939575	0.011805289508484	Fulco2016
chr8	129076705	129079225	genic|chr8:129077705-129078225-genic|chr8:129076385-129076945-genic|chr8:129079145-129079705	MYC	genic	K562	-0.00665275	0.861630692157	0	Proliferation Screen	KRAB-dCas9	51	3919	0.0158410658184	0.00157100758078	1	128748314	11.6550881964956	10.866869	14.535286	12.525848	0.011427829892347	Fulco2016
chr8	129078145	129080705	genic|chr8:129077705-129078225-genic|chr8:129079145-129079705	MYC	genic	K562	-0.01603157	0.791675316579	0	Proliferation Screen	KRAB-dCas9	73	3919	0.0118060798777	0.00157100758078	1	128748314	11.6550881964956	8.451651	11.36209	9.759896	0.008904341746363	Fulco2016
chr8	129088185	129090685	genic|chr8:129089185-129089685-genic|chr8:129090145-129090685	MYC	genic	K562	0.00722431	0.326245287134	0	Proliferation Screen	KRAB-dCas9	83	3919	0.0114269183686	0.00157100758078	1	128748314	13.2674055072385	3.973286	3.889724	3.92775	0.004239357996308	Fulco2016
chr8	129089145	129091685	genic|chr8:129089185-129089685-genic|chr8:129090145-129090685	MYC	genic	K562	-0.00428158	0.847434084842	0	Proliferation Screen	KRAB-dCas9	43	3919	0.0162629825772	0.00157100758078	1	128748314	13.2674055072385	3.973286	3.889724	3.92775	0.004239357996308	Fulco2016
chr8	129093805	129096305	genic|chr8:129094805-129095305	MYC	genic	K562	-0.01100373	0.963539534364	0	Proliferation Screen	KRAB-dCas9	40	3919	0.0129435404235	0.00157100758078	1	128748314	12.2893916858508	0.828653	1.023612	0.920987	0.000885982108503	Fulco2016
chr8	129116125	129118625	intergenic|chr8:129118385-129118885-intergenic|chr8:129117125-129117625	MYC	intergenic	K562	0.00511175	0.530917035744	0	Proliferation Screen	KRAB-dCas9	53	3919	0.0107338070115	0.00157100758078	1	128748314	14.4365498043101	1.771147	1.330695	1.351283	0.001527041331963	Fulco2016
chr8	129117385	129119885	intergenic|chr8:129118385-129118885-intergenic|chr8:129117125-129117625	MYC	intergenic	K562	-0.00874642	0.955813971987	0	Proliferation Screen	KRAB-dCas9	55	3919	0.010680506148	0.00157100758078	1	128748314	14.4365498043101	1.771147	1.330695	1.351283	0.001527041331963	Fulco2016
chr8	129139005	129141505	intergenic|chr8:129140005-129140505	MYC	intergenic	K562	-0.00139444	0.842267571449	0	Proliferation Screen	KRAB-dCas9	23	3919	0.0193945198703	0.00157100758078	1	128748314	13.6871733402627	2.756436	0.716528	1.405372	0.001505726623895	Fulco2016
