chromosome	enhancer_wide_start	enhancer_wide_end	enhancer_start	enhancer_end	sequence_start	sequence_end	target_start	target_end	main_tss_start	main_tss_end	main_tss_bin	validated	H3K27ac/abs(distance)	relative_tss_distance	relative_main_tss_distance	is_enhancer	dataset_name	cell_type_target	gene	Gene	Element name	ziga_key	fulco_key	fix_enhancer_wide_start	fix_enhancer_wide_end	actual_tss_distance
chr10	72351913	72353913	72257116	72257427	72156305	72549521	72295569	72410257	72354833	72354961	463	False	0.0287312342719578	-95641.59999999404	-97561.59999999404	True	gasperini2019	K562	DNAJB12	DNAJB12		gasperini2019_DNAJB12_72257116-72257427	not_fulco	72256271	72258271	97626
chr10	72351913	72353913	72297258	72298474	72156305	72549521	72295569	72410257	72354833	72354961	463	False	0.7735212387610391	-55046.59999999404	-56966.59999999404	True	gasperini2019	K562	DNAJB12	DNAJB12		gasperini2019_DNAJB12_72297258-72298474	not_fulco	72296866	72298866	57031
chr10	72209986	72211986	72254781	72255482	72014378	72407594	72153642	72268330	72215978	72216106	487	False	0.1973165408060503	44144.666666671634	39152.666666671634	True	gasperini2019	K562	ASCC1	ASCC1		gasperini2019_ASCC1_72254781-72255482	not_fulco	72254131	72256131	39089
chr10	72209986	72211986	72297258	72298474	72014378	72407594	72153642	72268330	72215978	72216106	487	False	0.5381136964052055	86879.66666667163	81887.66666667163	True	gasperini2019	K562	ASCC1	ASCC1		gasperini2019_ASCC1_72297258-72298474	not_fulco	72296866	72298866	81824
chr10	72209986	72211986	72308313	72308986	72014378	72407594	72153642	72268330	72215978	72216106	487	False	0.296783691834779	97662.66666667163	92670.66666667163	True	gasperini2019	K562	ASCC1	ASCC1		gasperini2019_ASCC1_72308313-72308986	not_fulco	72307649	72309649	92607
chr10	72215003	72217003	72254781	72255482	72019395	72412611	72158659	72273347	72216003	72216131	448	False	0.1974409310468207	39128.0	39128.0	True	gasperini2019	K562	ANAPC16	ANAPC16		gasperini2019_ANAPC16_72254781-72255482	not_fulco	72254131	72256131	39064
chr10	72215003	72217003	72257116	72257427	72019395	72412611	72158659	72273347	72216003	72216131	448	False	0.0679234560809071	41268.0	41268.0	True	gasperini2019	K562	ANAPC16	ANAPC16		gasperini2019_ANAPC16_72257116-72257427	not_fulco	72256271	72258271	41204
chr10	72215003	72217003	72260452	72261769	72019395	72412611	72158659	72273347	72216003	72216131	448	False	0.6480505728046645	45107.0	45107.0	True	gasperini2019	K562	ANAPC16	ANAPC16		gasperini2019_ANAPC16_72260452-72261769	not_fulco	72260110	72262110	45043
chr10	73909470	73911470	73879538	73880086	73713862	74107078	73853126	73967814	73911110	73911238	453	False	0.0910012221228193	-30658.0	-31298.0	True	gasperini2019	K562	PLAU	PLAU		gasperini2019_PLAU_73879538-73880086	not_fulco	73878812	73880812	31362
chr10	73909470	73911470	73930636	73931106	73713862	74107078	73853126	73967814	73911110	73911238	453	False	0.9892566758704012	20401.0	19761.0	True	gasperini2019	K562	PLAU	PLAU		gasperini2019_PLAU_73930636-73931106	not_fulco	73929871	73931871	19697
chr10	73909470	73911470	73932268	73932708	73713862	74107078	73853126	73967814	73911110	73911238	453	False	0.3755582184371784	22018.0	21378.0	True	gasperini2019	K562	PLAU	PLAU		gasperini2019_PLAU_73932268-73932708	not_fulco	73931488	73933488	21314
chr10	73909470	73911470	73956407	73957007	73713862	74107078	73853126	73967814	73911110	73911238	453	False	0.4213597865539399	46237.0	45597.0	True	gasperini2019	K562	PLAU	PLAU		gasperini2019_PLAU_73956407-73957007	not_fulco	73955707	73957707	45533
chr10	73909470	73911470	73957357	73957704	73713862	74107078	73853126	73967814	73911110	73911238	453	False	0.4024552068747307	47060.0	46420.0	True	gasperini2019	K562	PLAU	PLAU		gasperini2019_PLAU_73957357-73957704	not_fulco	73956530	73958530	46356
chr10	73909470	73911470	73993230	73993513	73713862	74107078	73853126	73967814	73911110	73911238	453	False	0.1855871194277969	82901.0	82261.0	True	gasperini2019	K562	PLAU	PLAU		gasperini2019_PLAU_73993230-73993513	not_fulco	73992371	73994371	82197
chr10	73869080	73871080	73879538	73880086	73673472	74066688	73812736	73927424	73874432	73874560	482	False	0.5293533423505746	9732.444444447756	5380.444444447756	True	gasperini2019	K562	CAMK2G	CAMK2G		gasperini2019_CAMK2G_73879538-73880086	not_fulco	73878812	73880812	5316
chr10	73869080	73871080	73930104	73930456	73673472	74066688	73812736	73927424	73874432	73874560	482	False	0.4026941837631765	60200.44444444776	55848.44444444776	True	gasperini2019	K562	CAMK2G	CAMK2G		gasperini2019_CAMK2G_73930104-73930456	not_fulco	73929280	73931280	55784
chr10	73788652	73790652	73894348	73894537	73593044	73986260	73732308	73846996	73785556	73785684	416	False	0.0210017711782361	104789.77777777612	108885.77777777612	True	gasperini2019	K562	ZSWIM8	ZSWIM8		gasperini2019_ZSWIM8_73894348-73894537	not_fulco	73893442	73895442	108822
chr10	73807016	73809016	73930104	73930456	73611408	74004624	73750672	73865360	73811472	73811600	475	False	0.1892961002123178	122263.75	118807.75	True	gasperini2019	K562	NDST2	NDST2		gasperini2019_NDST2_73930104-73930456	not_fulco	73929280	73931280	118744
chr10	73807016	73809016	73930636	73931106	73611408	74004624	73750672	73865360	73811472	73811600	475	False	0.1637261794773814	122854.75	119398.75	True	gasperini2019	K562	NDST2	NDST2		gasperini2019_NDST2_73930636-73931106	not_fulco	73929871	73931871	119335
chr10	5812686	5814686	5853302	5853876	5617078	6010294	5756342	5871030	5813302	5813430	445	False	0.0295833474732392	39903.5	40287.5	True	gasperini2019	K562	GDI2	GDI2		gasperini2019_GDI2_5853302-5853876	not_fulco	5852589	5854589	40223
chr10	5974258	5976258	5853302	5853876	5778650	6171866	5917914	6032602	5977434	5977562	465	False	0.0096236223294526	-121669.16666666698	-123845.16666666698	True	gasperini2019	K562	IL15RA	IL15RA		gasperini2019_IL15RA_5853302-5853876	not_fulco	5852589	5854589	123909
chr10	5974258	5976258	5987712	5988144	5778650	6171866	5917914	6032602	5977434	5977562	465	False	1.200628214933806	12669.833333333025	10493.833333333025	True	gasperini2019	K562	IL15RA	IL15RA		gasperini2019_IL15RA_5987712-5988144	not_fulco	5986928	5988928	10430
chr10	75234942	75236942	75192019	75192440	75039334	75432550	75178598	75293286	75235942	75236070	448	False	0.1201816840099055	-43713.0	-43713.0	True	gasperini2019	K562	COMTD1	COMTD1		gasperini2019_COMTD1_75192019-75192440	not_fulco	75191229	75193229	43777
chr10	75234942	75236942	75261931	75262179	75039334	75432550	75178598	75293286	75235942	75236070	448	False	0.0369068251370845	26113.0	26113.0	True	gasperini2019	K562	COMTD1	COMTD1		gasperini2019_COMTD1_75261931-75262179	not_fulco	75261055	75263055	26049
chr10	92690268	92692268	92753899	92754181	92494660	92887876	92633924	92748612	92689860	92689988	437	False	0.081197147244566	62772.0	64180.0	True	gasperini2019	K562	HHEX	HHEX		gasperini2019_HHEX_92753899-92754181	not_fulco	92753040	92755040	64116
chr10	92690268	92692268	92756203	92756884	92494660	92887876	92633924	92748612	92689860	92689988	437	True	0.5040648244305145	65275.0	66683.0	True	gasperini2019	K562	HHEX	HHEX		gasperini2019_HHEX_92756203-92756884	not_fulco	92755543	92757543	66619
chr10	92690268	92692268	92757047	92757539	92494660	92887876	92633924	92748612	92689860	92689988	437	True	0.5230884266605371	66025.0	67433.0	True	gasperini2019	K562	HHEX	HHEX		gasperini2019_HHEX_92757047-92757539	not_fulco	92756293	92758293	67369
chr10	92592129	92594129	92590690	92591098	92396521	92789737	92535785	92650473	92593129	92593257	448	False	6.688840097175615	-2235.0	-2235.0	True	gasperini2019	K562	KIF11	KIF11		gasperini2019_KIF11_92590690-92591098	not_fulco	92589894	92591894	2299
chr10	92592129	92594129	92591525	92591976	92396521	92789737	92535785	92650473	92593129	92593257	448	False	15.753549333756345	-1379.0	-1379.0	True	gasperini2019	K562	KIF11	KIF11		gasperini2019_KIF11_92591525-92591976	not_fulco	92590750	92592750	1443
chr10	92861237	92863237	92753899	92754181	92665629	93058845	92804893	92919581	92848413	92848541	340	False	0.055219281412583	-108197.42857143284	-94373.42857143284	True	gasperini2019	K562	EXOC6	EXOC6		gasperini2019_EXOC6_92753899-92754181	not_fulco	92753040	92755040	94437
chr10	92861237	92863237	92756203	92756884	92665629	93058845	92804893	92919581	92848413	92848541	340	False	0.36586913994164	-105694.42857143284	-91870.42857143284	True	gasperini2019	K562	EXOC6	EXOC6		gasperini2019_EXOC6_92756203-92756884	not_fulco	92755543	92757543	91934
chr10	97333730	97335730	97297803	97298390	97138122	97531338	97277386	97392074	97334730	97334858	448	False	0.4017972759253699	-36634.0	-36634.0	True	gasperini2019	K562	FRAT2	FRAT2		gasperini2019_FRAT2_97297803-97298390	not_fulco	97297096	97299096	36698
chr10	97286153	97288153	97297803	97298390	97090545	97483761	97229809	97344497	97292529	97292657	490	False	2.6441714476579694	10942.75	5566.75	True	gasperini2019	K562	ARHGAP19	ARHGAP19		gasperini2019_ARHGAP19_97297803-97298390	not_fulco	97297096	97299096	5503
chr10	97286153	97288153	97347333	97347813	97090545	97483761	97229809	97344497	97292529	97292657	490	False	0.0799999467752923	60419.75	55043.75	True	gasperini2019	K562	ARHGAP19	ARHGAP19		gasperini2019_ARHGAP19_97347333-97347813	not_fulco	97346573	97348573	54980
chr10	97686242	97688242	97689546	97689829	97490634	97883850	97629898	97744586	97687242	97687370	448	False	3.004052434815951	2445.0	2445.0	True	gasperini2019	K562	AVPI1	AVPI1		gasperini2019_AVPI1_97689546-97689829	not_fulco	97688687	97690687	2381
chr10	97686242	97688242	97788692	97789515	97490634	97883850	97629898	97744586	97687242	97687370	448	False	0.0969457324963675	101861.0	101861.0	True	gasperini2019	K562	AVPI1	AVPI1		gasperini2019_AVPI1_97788692-97789515	not_fulco	97788103	97790103	101797
chr10	97639685	97641685	97689546	97689829	97444077	97837293	97583341	97698029	97640685	97640813	448	False	0.149889967820191	49002.0	49002.0	True	gasperini2019	K562	PI4K2A	PI4K2A		gasperini2019_PI4K2A_97689546-97689829	not_fulco	97688687	97690687	48938
chr10	97712729	97714729	97689546	97689829	97517121	97910337	97656385	97771073	97713729	97713857	448	False	0.3055032111773147	-24042.0	-24042.0	True	gasperini2019	K562	MARVELD1	MARVELD1		gasperini2019_MARVELD1_97689546-97689829	not_fulco	97688687	97690687	24106
chr10	97712729	97714729	97788692	97789515	97517121	97910337	97656385	97771073	97713729	97713857	448	False	0.1310132042589288	75374.0	75374.0	True	gasperini2019	K562	MARVELD1	MARVELD1		gasperini2019_MARVELD1_97788692-97789515	not_fulco	97788103	97790103	75310
chr10	101130443	101132443	101042501	101043564	100934835	101328051	101074099	101188787	101131187	101131315	446	False	0.1661580189013669	-88411.0	-88155.0	True	gasperini2019	K562	TLX1	TLX1		gasperini2019_TLX1_101042501-101043564	not_fulco	101042032	101044032	88219
chr10	100997341	100999341	101042501	101043564	100801733	101194949	100940997	101055685	100997061	100997189	438	False	0.3186305794183628	44690.666666671634	45970.666666671634	True	gasperini2019	K562	LZTS2	LZTS2		gasperini2019_LZTS2_101042501-101043564	not_fulco	101042032	101044032	45907
chr10	101030236	101032236	101042501	101043564	100834628	101227844	100973892	101088580	101031236	101031364	448	False	1.2416954313779511	11796.5	11796.5	True	gasperini2019	K562	SFXN3	SFXN3		gasperini2019_SFXN3_101042501-101043564	not_fulco	101042032	101044032	11732
chr10	101694216	101696216	101749034	101750159	101498608	101891824	101637872	101752560	101695088	101695216	447	False	0.1131651915526936	54380.5	54508.5	True	gasperini2019	K562	FBXW4	FBXW4		gasperini2019_FBXW4_101749034-101750159	not_fulco	101748596	101750596	54444
chr10	101782414	101784414	101749034	101750159	101586806	101980022	101726070	101840758	101783414	101783542	448	False	0.1824018228088592	-33818.0	-33818.0	True	gasperini2019	K562	NPM3	NPM3		gasperini2019_NPM3_101749034-101750159	not_fulco	101748596	101750596	33882
chr10	102134841	102136841	102057751	102058480	101939233	102332449	102078497	102193185	102133025	102133153	426	False	0.3113342782171939	-77726.0	-74910.0	True	gasperini2019	K562	PPRC1	PPRC1		gasperini2019_PPRC1_102057751-102058480	not_fulco	102057115	102059115	74974
chr10	102134841	102136841	102122076	102122301	101939233	102332449	102078497	102193185	102133025	102133153	426	False	0.5569645388051352	-13653.0	-10837.0	True	gasperini2019	K562	PPRC1	PPRC1		gasperini2019_PPRC1_102122076-102122301	not_fulco	102121188	102123188	10901
chr10	102064389	102066389	102057751	102058480	101868781	102261997	102008045	102122733	102065389	102065517	448	False	3.206220893765466	-7274.0	-7274.0	True	gasperini2019	K562	HPS6	HPS6		gasperini2019_HPS6_102057751-102058480	not_fulco	102057115	102059115	7338
chr10	104333730	104335730	104339608	104341027	104138122	104531338	104277386	104392074	104338442	104338570	477	True	48.13417695790403	5586.59999999404	1874.5999999940395	True	gasperini2019	K562	ITPRIP	ITPRIP		gasperini2019_ITPRIP_104339608-104341027	not_fulco	104339317	104341317	1811
chr10	104270072	104272072	104347420	104347511	104074464	104467680	104213728	104328416	104269152	104269280	433	False	0.1706950519270427	76393.0	78313.0	True	gasperini2019	K562	GSTO2	GSTO2		gasperini2019_GSTO2_104347420-104347511	not_fulco	104346465	104348465	78249
chr10	104270072	104272072	104350194	104350473	104074464	104467680	104213728	104328416	104269152	104269280	433	False	0.1351615501741478	79261.0	81181.0	True	gasperini2019	K562	GSTO2	GSTO2		gasperini2019_GSTO2_104350194-104350473	not_fulco	104349333	104351333	81117
chr10	110224593	110226593	110206225	110206526	110028985	110422201	110168249	110282937	110225977	110226105	451	False	0.1673743694727977	-19217.653846159577	-19601.653846159577	True	gasperini2019	K562	MXI1	MXI1		gasperini2019_MXI1_110206225-110206526	not_fulco	110205375	110207375	19666
chr10	110224593	110226593	110306208	110306471	110028985	110422201	110168249	110282937	110225977	110226105	451	False	0.0768202323230389	80746.34615384042	80362.34615384042	True	gasperini2019	K562	MXI1	MXI1		gasperini2019_MXI1_110306208-110306471	not_fulco	110305339	110307339	80298
chr10	110303810	110305810	110306208	110306471	110108202	110501418	110247466	110362154	110304810	110304938	448	False	4.036256359308598	1529.5	1529.5	True	gasperini2019	K562	SMNDC1	SMNDC1		gasperini2019_SMNDC1_110306208-110306471	not_fulco	110305339	110307339	1465
chr10	110496906	110498906	110425899	110426529	110301298	110694514	110440562	110555250	110497906	110498034	448	False	0.1316557913321918	-71692.0	-71692.0	True	gasperini2019	K562	DUSP5	DUSP5		gasperini2019_DUSP5_110425899-110426529	not_fulco	110425214	110427214	71756
chr10	110566690	110568690	110557039	110557376	110371082	110764298	110510346	110625034	110567690	110567818	448	False	0.0884488087670216	-10483.0	-10483.0	True	gasperini2019	K562	SMC3	SMC3		gasperini2019_SMC3_110557039-110557376	not_fulco	110556207	110558207	10547
chr10	119206570	119208570	119090928	119091415	119010962	119404178	119150226	119264914	119207570	119207698	448	False	0.0240153128329066	-116399.0	-116399.0	True	gasperini2019	K562	GRK5	GRK5		gasperini2019_GRK5_119090928-119091415	not_fulco	119090171	119092171	116463
chr10	119164607	119166607	119189821	119190185	118968999	119362215	119108263	119222951	119165607	119165735	448	False	0.1484001585300878	24395.666666671637	24395.666666671637	True	gasperini2019	K562	SFXN4	SFXN4		gasperini2019_SFXN4_119189821-119190185	not_fulco	119189003	119191003	24332
chr10	123007753	123009753	123132918	123133520	122812145	123205361	122951409	123066097	123008753	123008881	448	False	0.0192585067156894	124466.0	124466.0	True	gasperini2019	K562	IKZF5	IKZF5		gasperini2019_IKZF5_123132918-123133520	not_fulco	123132219	123134219	124402
chr10	123007753	123009753	123139412	123139969	122812145	123205361	122951409	123066097	123008753	123008881	448	False	0.1574115050320001	130937.0	130937.0	True	gasperini2019	K562	IKZF5	IKZF5		gasperini2019_IKZF5_123139412-123139969	not_fulco	123138690	123140690	130873
chr10	123153518	123155518	123132918	123133520	122957910	123351126	123097174	123211862	123154390	123154518	447	False	0.1132196252922561	-21299.5	-21171.5	True	gasperini2019	K562	BUB3	BUB3		gasperini2019_BUB3_123132918-123133520	not_fulco	123132219	123134219	21235
chr10	123153518	123155518	123139412	123139969	122957910	123351126	123097174	123211862	123154390	123154518	447	False	1.402060490076868	-14828.5	-14700.5	True	gasperini2019	K562	BUB3	BUB3		gasperini2019_BUB3_123139412-123139969	not_fulco	123138690	123140690	14764
chr10	123134969	123136969	123139412	123139969	122939361	123332577	123078625	123193313	123135969	123136097	448	False	5.539099767367643	3721.0	3721.0	True	gasperini2019	K562	HMX3	HMX3		gasperini2019_HMX3_123139412-123139969	not_fulco	123138690	123140690	3657
chr10	11571903	11573903	11684670	11685317	11376295	11769511	11515559	11630247	11611687	11611815	751	False	0.0800364880850882	112090.25	73306.25	True	gasperini2019	K562	USP6NL	USP6NL		gasperini2019_USP6NL_11684670-11685317	not_fulco	11683993	11685993	73242
chr10	12132688	12134688	12063452	12063805	11937080	12330296	12076344	12191032	12129592	12129720	416	False	0.0459216673100134	-70059.69999999925	-65963.69999999925	True	gasperini2019	K562	SEC61A2	SEC61A2		gasperini2019_SEC61A2_12063452-12063805	not_fulco	12062628	12064628	66028
chr10	12039626	12041626	12063452	12063805	11844018	12237234	11983282	12097970	12042802	12042930	465	False	0.1454533549596294	23001.66666666605	20825.66666666605	True	gasperini2019	K562	UPF2	UPF2		gasperini2019_UPF2_12063452-12063805	not_fulco	12062628	12064628	20762
chr10	12202110	12204110	12265620	12266291	12006502	12399718	12145766	12260454	12196198	12196326	394	False	0.0717190385023388	62844.800000000745	69756.80000000075	True	gasperini2019	K562	CDC123	CDC123		gasperini2019_CDC123_12265620-12266291	not_fulco	12264955	12266955	69693
chr10	13345605	13347605	13268863	13269250	13149997	13543213	13289261	13403949	13348269	13348397	461	False	0.0854747137615377	-77548.80000000075	-79212.80000000075	True	gasperini2019	K562	SEPHS1	SEPHS1		gasperini2019_SEPHS1_13268863-13269250	not_fulco	13268056	13270056	79277
chr10	13299369	13301369	13404178	13404668	13103761	13496977	13243025	13357713	13299985	13300113	445	False	0.3307472570448496	104054.0	104438.0	True	gasperini2019	K562	PHYH	PHYH		gasperini2019_PHYH_13404178-13404668	not_fulco	13403423	13405423	104374
chr10	13494666	13496666	13404178	13404668	13299058	13692274	13438322	13553010	13481074	13481202	334	False	0.4506494663832053	-91242.66666666605	-76650.66666666605	True	gasperini2019	K562	BEND7	BEND7		gasperini2019_BEND7_13404178-13404668	not_fulco	13403423	13405423	76715
chr10	15370176	15372176	15439368	15439893	15174568	15567784	15313832	15428520	15371176	15371304	448	False	0.2027946263248044	68453.5	68453.5	True	gasperini2019	K562	FAM171A1	FAM171A1		gasperini2019_FAM171A1_15439368-15439893	not_fulco	15438630	15440630	68390
chr10	15370176	15372176	15440501	15440756	15174568	15567784	15313832	15428520	15371176	15371304	448	False	0.2083351331504719	69451.5	69451.5	True	gasperini2019	K562	FAM171A1	FAM171A1		gasperini2019_FAM171A1_15440501-15440756	not_fulco	15439628	15441628	69388
